dataset,file_name,path,size_mb,columns,preview_error
cra,_dnq_canonical.jsonl,C:\AI-Hackathon\Main\cra\_dnq_canonical.jsonl,10.737,bn|legal_name|nname,""
cra,cra_activities_outside_countries.jsonl,C:\AI-Hackathon\Main\cra\cra_activities_outside_countries.jsonl,4.521,bn|fpe|form_id|sequence_number|country,""
cra,cra_activities_outside_details.jsonl,C:\AI-Hackathon\Main\cra\cra_activities_outside_details.jsonl,4.773,bn|fpe|form_id|field_200|field_210|field_220|field_230|field_240|field_250|field_260,""
cra,cra_category_lookup.jsonl,C:\AI-Hackathon\Main\cra\cra_category_lookup.jsonl,0.004,code|name_en|name_fr|description_en|description_fr,""
cra,cra_charitable_programs.jsonl,C:\AI-Hackathon\Main\cra\cra_charitable_programs.jsonl,167.895,bn|fpe|form_id|program_type|description,""
cra,cra_compensation.jsonl,C:\AI-Hackathon\Main\cra\cra_compensation.jsonl,60.784,bn|fpe|form_id|field_300|field_305|field_310|field_315|field_320|field_325|field_330|field_335|field_340|field_345|field_370|field_380|field_390,""
cra,cra_country_lookup.jsonl,C:\AI-Hackathon\Main\cra\cra_country_lookup.jsonl,0.016,code|name_en|name_fr,""
cra,cra_designation_lookup.jsonl,C:\AI-Hackathon\Main\cra\cra_designation_lookup.jsonl,0.001,code|name_en|name_fr|description_en|description_fr,""
cra,cra_directors.jsonl,C:\AI-Hackathon\Main\cra\cra_directors.jsonl,703.46,bn|fpe|form_id|sequence_number|last_name|first_name|initials|position|at_arms_length|start_date|end_date,""
cra,cra_disbursement_quota.jsonl,C:\AI-Hackathon\Main\cra\cra_disbursement_quota.jsonl,9.423,bn|fpe|form_id|field_805|field_810|field_815|field_820|field_825|field_830|field_835|field_840|field_845|field_850|field_855|field_860|field_865|field_870|field_875|field_880|field_885|field_890,""
cra,cra_exported_goods.jsonl,C:\AI-Hackathon\Main\cra\cra_exported_goods.jsonl,0.733,bn|fpe|form_id|sequence_number|item_name|item_value|destination|country,""
cra,cra_financial_details.jsonl,C:\AI-Hackathon\Main\cra\cra_financial_details.jsonl,689.477,"",got non-null value for NULL-typed column: 1400.00
cra,cra_financial_general.jsonl,C:\AI-Hackathon\Main\cra\cra_financial_general.jsonl,909.717,"",got non-null value for NULL-typed column: true
cra,cra_foundation_info.jsonl,C:\AI-Hackathon\Main\cra\cra_foundation_info.jsonl,69.923,"",got non-null value for NULL-typed column: 0.00
cra,cra_gifts_in_kind.jsonl,C:\AI-Hackathon\Main\cra\cra_gifts_in_kind.jsonl,17.77,bn|fpe|form_id|field_500|field_505|field_510|field_515|field_520|field_525|field_530|field_535|field_540|field_545|field_550|field_555|field_560|field_565|field_580,""
cra,cra_identification.jsonl,C:\AI-Hackathon\Main\cra\cra_identification.jsonl,170.069,bn|fiscal_year|category|sub_category|designation|legal_name|account_name|address_line_1|address_line_2|city|province|postal_code|country|registration_date|language|contact_phone|contact_email,""
cra,cra_non_qualified_donees.jsonl,C:\AI-Hackathon\Main\cra\cra_non_qualified_donees.jsonl,7.197,bn|fpe|form_id|sequence_number|recipient_name|purpose|cash_amount|non_cash_amount|country,""
cra,cra_political_activity_desc.jsonl,C:\AI-Hackathon\Main\cra\cra_political_activity_desc.jsonl,0.215,bn|fpe|form_id|description,""
cra,cra_political_activity_funding.jsonl,C:\AI-Hackathon\Main\cra\cra_political_activity_funding.jsonl,0.0,"",Cannot infer NDJSON types on empty reader because empty string is not a valid JSON value
cra,cra_political_activity_resources.jsonl,C:\AI-Hackathon\Main\cra\cra_political_activity_resources.jsonl,0.04,"",got non-null value for NULL-typed column: true
cra,cra_program_type_lookup.jsonl,C:\AI-Hackathon\Main\cra\cra_program_type_lookup.jsonl,0.0,code|name_en|name_fr|description_en|description_fr,""
cra,cra_province_state_lookup.jsonl,C:\AI-Hackathon\Main\cra\cra_province_state_lookup.jsonl,0.005,code|name_en|name_fr|country,""
cra,cra_qualified_donees.jsonl,C:\AI-Hackathon\Main\cra\cra_qualified_donees.jsonl,559.176,"",got non-null value for NULL-typed column: false
cra,cra_resources_sent_outside.jsonl,C:\AI-Hackathon\Main\cra\cra_resources_sent_outside.jsonl,11.471,bn|fpe|form_id|sequence_number|individual_org_name|amount|country,""
cra,cra_sub_category_lookup.jsonl,C:\AI-Hackathon\Main\cra\cra_sub_category_lookup.jsonl,0.046,category_code|sub_category_code|name_en|name_fr|description_en|description_fr,""
cra,cra_web_urls.jsonl,C:\AI-Hackathon\Main\cra\cra_web_urls.jsonl,16.352,bn|fiscal_year|sequence_number|contact_url,""
cra,donee_name_quality.jsonl,C:\AI-Hackathon\Main\cra\donee_name_quality.jsonl,105.835,donee_bn|donee_name|canonical_name|mismatch_category|bn_defect|trigram_sim|citations|total_gifts,""
cra,govt_funding_by_charity.jsonl,C:\AI-Hackathon\Main\cra\govt_funding_by_charity.jsonl,46.044,bn|fiscal_year|legal_name|designation|category|federal|provincial|municipal|combined_sectiond|total_govt|revenue|govt_share_of_rev,""
cra,govt_funding_by_year.jsonl,C:\AI-Hackathon\Main\cra\govt_funding_by_year.jsonl,0.002,fiscal_year|charities_filed|charities_any_govt|federal|provincial|municipal|combined_sectiond|total_govt|total_revenue|federal_pct|provincial_pct|municipal_pct|total_govt_pct,""
cra,identification_name_history.jsonl,C:\AI-Hackathon\Main\cra\identification_name_history.jsonl,16.498,bn|legal_name|account_name|first_year|last_year|years_present,""
cra,identified_hubs.jsonl,C:\AI-Hackathon\Main\cra\identified_hubs.jsonl,0.004,bn|legal_name|scc_id|in_degree|out_degree|total_degree|total_inflow|total_outflow|hub_type,""
cra,johnson_cycles.jsonl,C:\AI-Hackathon\Main\cra\johnson_cycles.jsonl,1.429,id|hops|path_bns|path_display|bottleneck_amt|total_flow|min_year|max_year,""
cra,loop_charity_financials.jsonl,C:\AI-Hackathon\Main\cra\loop_charity_financials.jsonl,0.639,bn|legal_name|designation|category|circular_outflow|circular_inflow|loops_count|revenue|gifts_received_charities|gifts_given_donees|total_expenditures|program_spending|admin_spending|fundraising_spending|compensation_spending,""
cra,loop_edge_year_flows.jsonl,C:\AI-Hackathon\Main\cra\loop_edge_year_flows.jsonl,3.286,loop_id|hop_idx|src|dst|year_flow|gift_count,""
cra,loop_edges.jsonl,C:\AI-Hackathon\Main\cra\loop_edges.jsonl,7.333,src|dst|total_amt|edge_count|min_year|max_year|years,""
cra,loop_financials.jsonl,C:\AI-Hackathon\Main\cra\loop_financials.jsonl,1.13,loop_id|hops|same_year|min_year|max_year|bottleneck_window|total_flow_window|bottleneck_allyears|total_flow_allyears,""
