id,hops,path_bns,path_display,bottleneck_amt,total_flow,min_year,max_year,loop_id,participant_count,loop_max_govt_share_pct,loop_max_strict_overhead_pct,review_score,review_label,why_flagged
227,2,"shape: (2,)
Series: '' [str]
[
	""119074409RR0001""
	""119281640RR0001""
]",119074409RR0001→119281640RR0001→119074409RR0001,261138.00,10261138.00,2024,2024,227,2,978.26,439.28,65.2,High,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
3653,6,"shape: (6,)
Series: '' [str]
[
	""118799485RR0001""
	""896568417RR0001""
	""882618713RR0001""
	""119281640RR0001""
	""119278216RR0001""
	""801966334RR0001""
]",118799485RR0001→896568417RR0001→882618713RR0001→119281640RR0001→119278216RR0001→801966334RR0001→118799485RR0001,43789.00,1146580.00,2020,2021,3653,6,978.26,439.28,60.9,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
1267,5,"shape: (5,)
Series: '' [str]
[
	""106864143RR0001""
	""892028242RR0001""
	""896568417RR0001""
	""882618713RR0001""
	""119281640RR0001""
]",106864143RR0001→892028242RR0001→896568417RR0001→882618713RR0001→119281640RR0001→106864143RR0001,30000.00,1703149.00,2020,2021,1267,5,978.26,439.28,60.6,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
2016,5,"shape: (5,)
Series: '' [str]
[
	""119278216RR0001""
	""129855607RR0001""
	""896568417RR0001""
	""882618713RR0001""
	""119281640RR0001""
]",119278216RR0001→129855607RR0001→896568417RR0001→882618713RR0001→119281640RR0001→119278216RR0001,24732.00,1053719.00,2020,2021,2016,5,978.26,439.28,60.5,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
2576,6,"shape: (6,)
Series: '' [str]
[
	""106864143RR0001""
	""892028242RR0001""
	""129855607RR0001""
	""896568417RR0001""
	""882618713RR0001""
	""119281640RR0001""
]",106864143RR0001→892028242RR0001→129855607RR0001→896568417RR0001→882618713RR0001→119281640RR0001→106864143RR0001,25000.00,1667480.00,2020,2021,2576,6,978.26,439.28,60.5,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
1217,5,"shape: (5,)
Series: '' [str]
[
	""104872304RR0001""
	""119219814RR0001""
	""119281160RR0001""
	""119281640RR0001""
	""119278216RR0001""
]",104872304RR0001→119219814RR0001→119281160RR0001→119281640RR0001→119278216RR0001→104872304RR0001,21686.00,1110855.00,2020,2021,1217,5,978.26,439.28,60.4,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
2649,6,"shape: (6,)
Series: '' [str]
[
	""107462988RR0001""
	""119219814RR0001""
	""119281160RR0001""
	""119281640RR0001""
	""119278216RR0001""
	""801966334RR0001""
]",107462988RR0001→119219814RR0001→119281160RR0001→119281640RR0001→119278216RR0001→801966334RR0001→107462988RR0001,21686.00,1354719.00,2020,2021,2649,6,978.26,439.28,60.4,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
3656,6,"shape: (6,)
Series: '' [str]
[
	""118799485RR0001""
	""896568417RR0001""
	""882618713RR0001""
	""119281640RR0001""
	""119278216RR0001""
	""866087034RR0001""
]",118799485RR0001→896568417RR0001→882618713RR0001→119281640RR0001→119278216RR0001→866087034RR0001→118799485RR0001,21635.00,1116833.00,2020,2021,3656,6,978.26,439.28,60.4,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
4917,6,"shape: (6,)
Series: '' [str]
[
	""119278216RR0001""
	""801966334RR0001""
	""119278323RR0001""
	""896568417RR0001""
	""882618713RR0001""
	""119281640RR0001""
]",119278216RR0001→801966334RR0001→119278323RR0001→896568417RR0001→882618713RR0001→119281640RR0001→119278216RR0001,20099.00,1132978.00,2020,2021,4917,6,978.26,439.28,60.4,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
1936,5,"shape: (5,)
Series: '' [str]
[
	""119219814RR0001""
	""119281160RR0001""
	""119281640RR0001""
	""119278216RR0001""
	""801966334RR0001""
]",119219814RR0001→119281160RR0001→119281640RR0001→119278216RR0001→801966334RR0001→119219814RR0001,13526.00,1008608.00,2020,2021,1936,5,978.26,439.28,60.3,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
4044,6,"shape: (6,)
Series: '' [str]
[
	""118900679RR0001""
	""896568417RR0001""
	""869002469RR0001""
	""119281640RR0001""
	""859928483RR0001""
	""896713500RR0001""
]",118900679RR0001→896568417RR0001→869002469RR0001→119281640RR0001→859928483RR0001→896713500RR0001→118900679RR0001,16697.00,1953260.00,2021,2022,4044,6,978.26,439.28,60.3,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
4680,6,"shape: (6,)
Series: '' [str]
[
	""119219814RR0001""
	""119281160RR0001""
	""119281640RR0001""
	""119278216RR0001""
	""801966334RR0001""
	""119260487RR0001""
]",119219814RR0001→119281160RR0001→119281640RR0001→119278216RR0001→801966334RR0001→119260487RR0001→119219814RR0001,16244.00,1171193.00,2020,2021,4680,6,978.26,439.28,60.3,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
4986,6,"shape: (6,)
Series: '' [str]
[
	""119281640RR0001""
	""859928483RR0001""
	""896713500RR0001""
	""858635675RR0001""
	""896568417RR0001""
	""869002469RR0001""
]",119281640RR0001→859928483RR0001→896713500RR0001→858635675RR0001→896568417RR0001→869002469RR0001→119281640RR0001,16250.00,1224510.00,2021,2022,4986,6,978.26,439.28,60.3,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
1275,5,"shape: (5,)
Series: '' [str]
[
	""106887441RR0001""
	""896568417RR0001""
	""882618713RR0001""
	""119281640RR0001""
	""119278216RR0001""
]",106887441RR0001→896568417RR0001→882618713RR0001→119281640RR0001→119278216RR0001→106887441RR0001,10000.00,1171779.00,2020,2021,1275,5,978.26,439.28,60.2,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
1575,5,"shape: (5,)
Series: '' [str]
[
	""108155797RR0002""
	""896568417RR0001""
	""882618713RR0001""
	""119281640RR0001""
	""119278216RR0001""
]",108155797RR0002→896568417RR0001→882618713RR0001→119281640RR0001→119278216RR0001→108155797RR0002,8532.00,1029080.00,2020,2021,1575,5,978.26,439.28,60.2,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
1944,5,"shape: (5,)
Series: '' [str]
[
	""119227981RR0001""
	""119281640RR0001""
	""890943772RR0001""
	""866073133RR0001""
	""868947797RR0001""
]",119227981RR0001→119281640RR0001→890943772RR0001→866073133RR0001→868947797RR0001→119227981RR0001,10000.00,1463750.00,2022,2023,1944,5,978.26,439.28,60.2,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
2379,6,"shape: (6,)
Series: '' [str]
[
	""104872304RR0001""
	""119219814RR0001""
	""119281160RR0001""
	""119281640RR0001""
	""119278216RR0001""
	""866983356RR0001""
]",104872304RR0001→119219814RR0001→119281160RR0001→119281640RR0001→119278216RR0001→866983356RR0001→104872304RR0001,8000.00,1056906.00,2020,2021,2379,6,978.26,439.28,60.2,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
2587,6,"shape: (6,)
Series: '' [str]
[
	""106864143RR0001""
	""892028242RR0001""
	""896568417RR0001""
	""882618713RR0001""
	""119281640RR0001""
	""811691922RR0001""
]",106864143RR0001→892028242RR0001→896568417RR0001→882618713RR0001→119281640RR0001→811691922RR0001→106864143RR0001,7826.00,1788725.00,2020,2021,2587,6,978.26,439.28,60.2,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
2613,6,"shape: (6,)
Series: '' [str]
[
	""106887441RR0001""
	""896568417RR0001""
	""882618713RR0001""
	""119281640RR0001""
	""119278216RR0001""
	""801966334RR0001""
]",106887441RR0001→896568417RR0001→882618713RR0001→119281640RR0001→119278216RR0001→801966334RR0001→106887441RR0001,10000.00,1333160.00,2020,2021,2613,6,978.26,439.28,60.2,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
2619,6,"shape: (6,)
Series: '' [str]
[
	""106887441RR0001""
	""896568417RR0001""
	""882618713RR0001""
	""119281640RR0001""
	""119278216RR0001""
	""866087034RR0001""
]",106887441RR0001→896568417RR0001→882618713RR0001→119281640RR0001→119278216RR0001→866087034RR0001→106887441RR0001,10000.00,1075198.00,2020,2021,2619,6,978.26,439.28,60.2,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
2629,6,"shape: (6,)
Series: '' [str]
[
	""106887441RR0001""
	""896568417RR0001""
	""882618713RR0001""
	""119281640RR0001""
	""859928483RR0001""
	""896713500RR0001""
]",106887441RR0001→896568417RR0001→882618713RR0001→119281640RR0001→859928483RR0001→896713500RR0001→106887441RR0001,10000.00,1372958.00,2020,2021,2629,6,978.26,439.28,60.2,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
2641,6,"shape: (6,)
Series: '' [str]
[
	""107354995RR0001""
	""896568417RR0001""
	""882618713RR0001""
	""119281640RR0001""
	""119278216RR0001""
	""108155797RR0002""
]",107354995RR0001→896568417RR0001→882618713RR0001→119281640RR0001→119278216RR0001→108155797RR0002→107354995RR0001,11600.00,1044148.00,2020,2021,2641,6,978.26,439.28,60.2,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
3289,6,"shape: (6,)
Series: '' [str]
[
	""108074436RR0001""
	""136535226RR0001""
	""119288140RR0001""
	""119246544RR0001""
	""886092998RR0001""
	""119281640RR0001""
]",108074436RR0001→136535226RR0001→119288140RR0001→119246544RR0001→886092998RR0001→119281640RR0001→108074436RR0001,10000.00,1312000.00,2021,2022,3289,6,978.26,439.28,60.2,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
3313,6,"shape: (6,)
Series: '' [str]
[
	""108074436RR0001""
	""891934374RR0001""
	""130527427RR0001""
	""119246544RR0001""
	""886092998RR0001""
	""119281640RR0001""
]",108074436RR0001→891934374RR0001→130527427RR0001→119246544RR0001→886092998RR0001→119281640RR0001→108074436RR0001,12500.00,1202661.00,2022,2023,3313,6,978.26,439.28,60.2,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
4701,6,"shape: (6,)
Series: '' [str]
[
	""119227981RR0001""
	""119281640RR0001""
	""845528827RR0001""
	""840593628RR0001""
	""779691302RR0001""
	""839545803RR0001""
]",119227981RR0001→119281640RR0001→845528827RR0001→840593628RR0001→779691302RR0001→839545803RR0001→119227981RR0001,10000.00,2533296.00,2023,2024,4701,6,978.26,439.28,60.2,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
4798,6,"shape: (6,)
Series: '' [str]
[
	""119246544RR0001""
	""886092998RR0001""
	""119281640RR0001""
	""859928483RR0001""
	""896713500RR0001""
	""701032526RR0001""
]",119246544RR0001→886092998RR0001→119281640RR0001→859928483RR0001→896713500RR0001→701032526RR0001→119246544RR0001,10000.00,1363563.00,2021,2022,4798,6,978.26,439.28,60.2,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
4932,6,"shape: (6,)
Series: '' [str]
[
	""119278216RR0001""
	""868421546RR0001""
	""833914484RR0001""
	""896568417RR0001""
	""882618713RR0001""
	""119281640RR0001""
]",119278216RR0001→868421546RR0001→833914484RR0001→896568417RR0001→882618713RR0001→119281640RR0001→119278216RR0001,10000.00,1725717.00,2020,2021,4932,6,978.26,439.28,60.2,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
4974,6,"shape: (6,)
Series: '' [str]
[
	""119281640RR0001""
	""845528827RR0001""
	""840593628RR0001""
	""808422307RR0001""
	""896568417RR0001""
	""833201056RR0001""
]",119281640RR0001→845528827RR0001→840593628RR0001→808422307RR0001→896568417RR0001→833201056RR0001→119281640RR0001,10000.00,7824011.00,2023,2024,4974,6,978.26,439.28,60.2,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
4988,6,"shape: (6,)
Series: '' [str]
[
	""119281640RR0001""
	""859928483RR0001""
	""896713500RR0001""
	""701032526RR0001""
	""897476560RR0001""
	""886092998RR0001""
]",119281640RR0001→859928483RR0001→896713500RR0001→701032526RR0001→897476560RR0001→886092998RR0001→119281640RR0001,10000.00,1331563.00,2021,2022,4988,6,978.26,439.28,60.2,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
4996,6,"shape: (6,)
Series: '' [str]
[
	""119281640RR0001""
	""872590278RR0001""
	""892028242RR0001""
	""793187881RR0001""
	""840593628RR0001""
	""891567349RR0001""
]",119281640RR0001→872590278RR0001→892028242RR0001→793187881RR0001→840593628RR0001→891567349RR0001→119281640RR0001,8970.00,1344755.00,2023,2024,4996,6,978.26,439.28,60.2,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
864,4,"shape: (4,)
Series: '' [str]
[
	""119281160RR0001""
	""119281640RR0001""
	""859928483RR0001""
	""896713500RR0001""
]",119281160RR0001→119281640RR0001→859928483RR0001→896713500RR0001→119281160RR0001,5000.00,1228563.00,2020,2021,864,4,978.26,439.28,60.1,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
1400,5,"shape: (5,)
Series: '' [str]
[
	""107561862RR0001""
	""866073133RR0001""
	""868947797RR0001""
	""119227981RR0001""
	""119281640RR0001""
]",107561862RR0001→866073133RR0001→868947797RR0001→119227981RR0001→119281640RR0001→107561862RR0001,7500.00,1499785.00,2022,2023,1400,5,978.26,439.28,60.1,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
1682,5,"shape: (5,)
Series: '' [str]
[
	""118852433RR0001""
	""119219814RR0001""
	""119281160RR0001""
	""119281640RR0001""
	""119278216RR0001""
]",118852433RR0001→119219814RR0001→119281160RR0001→119281640RR0001→119278216RR0001→118852433RR0001,5000.00,1025365.00,2020,2021,1682,5,978.26,439.28,60.1,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
2019,5,"shape: (5,)
Series: '' [str]
[
	""119278216RR0001""
	""801966334RR0001""
	""130229750RR0001""
	""882618713RR0001""
	""119281640RR0001""
]",119278216RR0001→801966334RR0001→130229750RR0001→882618713RR0001→119281640RR0001→119278216RR0001,6000.00,1250897.00,2020,2021,2019,5,978.26,439.28,60.1,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
2020,5,"shape: (5,)
Series: '' [str]
[
	""119278216RR0001""
	""827502741RR0001""
	""896713500RR0001""
	""119281160RR0001""
	""119281640RR0001""
]",119278216RR0001→827502741RR0001→896713500RR0001→119281160RR0001→119281640RR0001→119278216RR0001,5000.00,1165644.00,2020,2021,2020,5,978.26,439.28,60.1,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
2574,6,"shape: (6,)
Series: '' [str]
[
	""106864143RR0001""
	""892028242RR0001""
	""896568417RR0001""
	""108167875RR0001""
	""771240884RR0001""
	""119281640RR0001""
]",106864143RR0001→892028242RR0001→896568417RR0001→108167875RR0001→771240884RR0001→119281640RR0001→106864143RR0001,5000.00,1559560.00,2020,2021,2574,6,978.26,439.28,60.1,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
2575,6,"shape: (6,)
Series: '' [str]
[
	""106864143RR0001""
	""892028242RR0001""
	""896568417RR0001""
	""887483741RR0001""
	""790078299RR0001""
	""119281640RR0001""
]",106864143RR0001→892028242RR0001→896568417RR0001→887483741RR0001→790078299RR0001→119281640RR0001→106864143RR0001,5000.00,1769769.00,2020,2021,2575,6,978.26,439.28,60.1,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
2603,6,"shape: (6,)
Series: '' [str]
[
	""106887441RR0001""
	""896568417RR0001""
	""108167875RR0001""
	""771240884RR0001""
	""119281640RR0001""
	""119278216RR0001""
]",106887441RR0001→896568417RR0001→108167875RR0001→771240884RR0001→119281640RR0001→119278216RR0001→106887441RR0001,5000.00,1028190.00,2020,2021,2603,6,978.26,439.28,60.1,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
2604,6,"shape: (6,)
Series: '' [str]
[
	""106887441RR0001""
	""896568417RR0001""
	""887483741RR0001""
	""790078299RR0001""
	""119281640RR0001""
	""119278216RR0001""
]",106887441RR0001→896568417RR0001→887483741RR0001→790078299RR0001→119281640RR0001→119278216RR0001→106887441RR0001,5000.00,1238399.00,2020,2021,2604,6,978.26,439.28,60.1,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
2650,6,"shape: (6,)
Series: '' [str]
[
	""107462988RR0001""
	""130229750RR0001""
	""882618713RR0001""
	""119281640RR0001""
	""119278216RR0001""
	""801966334RR0001""
]",107462988RR0001→130229750RR0001→882618713RR0001→119281640RR0001→119278216RR0001→801966334RR0001→107462988RR0001,6000.00,1326939.00,2020,2021,2650,6,978.26,439.28,60.1,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
3276,6,"shape: (6,)
Series: '' [str]
[
	""108074436RR0001""
	""122437072RR0001""
	""119281640RR0001""
	""859928483RR0001""
	""896713500RR0001""
	""863109021RR0001""
]",108074436RR0001→122437072RR0001→119281640RR0001→859928483RR0001→896713500RR0001→863109021RR0001→108074436RR0001,5000.00,1251163.00,2020,2021,3276,6,978.26,439.28,60.1,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
3307,6,"shape: (6,)
Series: '' [str]
[
	""108074436RR0001""
	""891567349RR0001""
	""119281640RR0001""
	""889101978RR0001""
	""130560188RR0001""
	""768362147RR0001""
]",108074436RR0001→891567349RR0001→119281640RR0001→889101978RR0001→130560188RR0001→768362147RR0001→108074436RR0001,5000.00,1509167.00,2023,2024,3307,6,978.26,439.28,60.1,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
3485,6,"shape: (6,)
Series: '' [str]
[
	""108155797RR0002""
	""896568417RR0001""
	""887483741RR0001""
	""790078299RR0001""
	""119281640RR0001""
	""119278216RR0001""
]",108155797RR0002→896568417RR0001→887483741RR0001→790078299RR0001→119281640RR0001→119278216RR0001→108155797RR0002,5000.00,1095700.00,2020,2021,3485,6,978.26,439.28,60.1,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
3779,6,"shape: (6,)
Series: '' [str]
[
	""118852433RR0001""
	""119219814RR0001""
	""119281160RR0001""
	""119281640RR0001""
	""119278216RR0001""
	""801966334RR0001""
]",118852433RR0001→119219814RR0001→119281160RR0001→119281640RR0001→119278216RR0001→801966334RR0001→118852433RR0001,5000.00,1014247.00,2020,2021,3779,6,978.26,439.28,60.1,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
4045,6,"shape: (6,)
Series: '' [str]
[
	""118900679RR0001""
	""896568417RR0001""
	""887483741RR0001""
	""119281640RR0001""
	""859928483RR0001""
	""896713500RR0001""
]",118900679RR0001→896568417RR0001→887483741RR0001→119281640RR0001→859928483RR0001→896713500RR0001→118900679RR0001,6015.00,1909578.00,2021,2022,4045,6,978.26,439.28,60.1,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
4047,6,"shape: (6,)
Series: '' [str]
[
	""118900679RR0001""
	""896568417RR0001""
	""889188249RR0001""
	""119281640RR0001""
	""859928483RR0001""
	""896713500RR0001""
]",118900679RR0001→896568417RR0001→889188249RR0001→119281640RR0001→859928483RR0001→896713500RR0001→118900679RR0001,5433.00,1909279.00,2021,2022,4047,6,978.26,439.28,60.1,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
4596,6,"shape: (6,)
Series: '' [str]
[
	""119042489RR0001""
	""859928483RR0001""
	""896713500RR0001""
	""119281160RR0001""
	""119281640RR0001""
	""119278216RR0001""
]",119042489RR0001→859928483RR0001→896713500RR0001→119281160RR0001→119281640RR0001→119278216RR0001→119042489RR0001,5000.00,1084286.00,2020,2021,4596,6,978.26,439.28,60.1,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
4907,6,"shape: (6,)
Series: '' [str]
[
	""119278216RR0001""
	""129716866RR0001""
	""129855607RR0001""
	""896568417RR0001""
	""882618713RR0001""
	""119281640RR0001""
]",119278216RR0001→129716866RR0001→129855607RR0001→896568417RR0001→882618713RR0001→119281640RR0001→119278216RR0001,5000.00,1046908.00,2020,2021,4907,6,978.26,439.28,60.1,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
4909,6,"shape: (6,)
Series: '' [str]
[
	""119278216RR0001""
	""129855607RR0001""
	""896568417RR0001""
	""887483741RR0001""
	""790078299RR0001""
	""119281640RR0001""
]",119278216RR0001→129855607RR0001→896568417RR0001→887483741RR0001→790078299RR0001→119281640RR0001→119278216RR0001,5000.00,1120339.00,2020,2021,4909,6,978.26,439.28,60.1,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
4918,6,"shape: (6,)
Series: '' [str]
[
	""119278216RR0001""
	""801966334RR0001""
	""129855607RR0001""
	""896568417RR0001""
	""882618713RR0001""
	""119281640RR0001""
]",119278216RR0001→801966334RR0001→129855607RR0001→896568417RR0001→882618713RR0001→119281640RR0001→119278216RR0001,6798.00,1084589.00,2020,2021,4918,6,978.26,439.28,60.1,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
4922,6,"shape: (6,)
Series: '' [str]
[
	""119278216RR0001""
	""839912599RR0001""
	""827502741RR0001""
	""896713500RR0001""
	""119281160RR0001""
	""119281640RR0001""
]",119278216RR0001→839912599RR0001→827502741RR0001→896713500RR0001→119281160RR0001→119281640RR0001→119278216RR0001,5000.00,1228373.00,2020,2021,4922,6,978.26,439.28,60.1,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
4960,6,"shape: (6,)
Series: '' [str]
[
	""119281640RR0001""
	""136491875RR0001""
	""751188517RR0001""
	""833914484RR0001""
	""896568417RR0001""
	""882618713RR0001""
]",119281640RR0001→136491875RR0001→751188517RR0001→833914484RR0001→896568417RR0001→882618713RR0001→119281640RR0001,5000.00,5696359.00,2020,2021,4960,6,978.26,439.28,60.1,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
4985,6,"shape: (6,)
Series: '' [str]
[
	""119281640RR0001""
	""859928483RR0001""
	""896713500RR0001""
	""129253308RR0001""
	""833062144RR0001""
	""836149989RR0001""
]",119281640RR0001→859928483RR0001→896713500RR0001→129253308RR0001→833062144RR0001→836149989RR0001→119281640RR0001,5000.00,1215460.00,2021,2022,4985,6,978.26,439.28,60.1,Medium,"Review-priority signal based on circular flow amount, bottleneck amount, government funding exposure, overhead context"
